plan,sport,year,month,dataSize,fileCount
B,Cricket,2016,10,2,670
A,Cricket,2016,10,43,670
P,Cricket,2016,10,60,670
B,Cricket,2015,12,1,657
A,Cricket,2015,12,37,657
P,Cricket,2015,12,54,657
B,Golf,2016,4,2,649
A,Golf,2016,4,48,649
P,Golf,2016,4,60,649
A,Golf,2018,11,49,648
P,Golf,2018,11,73,648
B,Golf,2018,11,3,647
B,Golf,2016,1,2,623
A,Golf,2016,1,45,623
P,Golf,2016,1,52,623
B,Golf,2017,1,2,616
A,Golf,2017,1,46,616
P,Golf,2017,1,55,616
P,Golf,2018,6,68,605
B,Golf,2018,6,3,604
A,Golf,2018,6,47,604
B,Golf,2017,4,2,568
A,Golf,2017,4,47,568
P,Golf,2017,4,53,568
B,Golf,2018,9,4,566
A,Golf,2018,9,82,566
P,Golf,2018,9,123,566
B,Golf,2018,1,3,565
A,Golf,2018,1,53,565
P,Golf,2018,1,66,565
B,Soccer,2015,4,1,564
A,Soccer,2015,4,31,564
P,Soccer,2015,4,47,564
B,Golf,2017,2,2,561
A,Golf,2017,2,50,561
P,Golf,2017,2,66,561
B,Golf,2018,3,3,534
A,Golf,2018,3,60,534
P,Golf,2018,3,74,534
B,Golf,2018,10,4,502
A,Golf,2018,10,71,502
P,Golf,2018,10,107,502
B,Golf,2018,5,3,500
A,Golf,2018,5,60,500
P,Golf,2018,5,79,500
B,Golf,2018,2,4,497
A,Golf,2018,2,68,497
P,Golf,2018,2,87,497
B,Golf,2016,3,1,496
A,Golf,2016,3,24,496
P,Golf,2016,3,28,496
B,Golf,2016,2,2,388
A,Golf,2016,2,49,388
P,Golf,2016,2,56,388
B,Golf,2018,4,2,364
A,Golf,2018,4,27,364
P,Golf,2018,4,36,364
B,Golf,2018,7,2,340
A,Golf,2018,7,36,340
P,Golf,2018,7,50,340
B,Golf,2016,12,1,300
A,Golf,2016,12,17,300
P,Golf,2016,12,20,300
B,Golf,2017,12,1,207
A,Golf,2017,12,18,207
P,Golf,2017,12,22,207
B,Golf,2015,12,1,194
A,Golf,2015,12,13,194
P,Golf,2015,12,15,194
B,Other Sports,2015,4,0,30
A,Other Sports,2015,4,0,30
P,Other Sports,2015,4,0,30
B,Tennis,2015,4,0,28
A,Tennis,2015,4,1,28
P,Tennis,2015,4,1,28
B,Horse Racing,2015,4,0,19
A,Horse Racing,2015,4,1,19
P,Horse Racing,2015,4,2,19
B,Greyhound Racing,2015,4,0,13
A,Greyhound Racing,2015,4,0,13
P,Greyhound Racing,2015,4,0,13
B,Golf,2015,4,0,10
A,Golf,2015,4,0,10
P,Golf,2015,4,0,10
B,Soccer,2018,12,0,4
A,Soccer,2018,12,0,4
P,Soccer,2018,12,0,2
B,Greyhound Racing,2018,12,0,2
A,Greyhound Racing,2018,12,0,2
P,Horse Racing,2018,12,3,2
